token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1064.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1064.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24518,1064.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1065.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,885.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.6
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1065.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24519,1065.8
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.2
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24520,1066.4
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),5,24521,1066.6
